FID_1,BARANGAY,TOTAL PUM:,POPULATION:,% COVERAGE OF PUM:,PUM Yesterday:,Difference:,Done:,Due Today:,Ongoing:,Male,Female,<15 [Female]:,<15 [Male]:,16-25 [Female]:,16-25 [Male]:,26-35 [Female]:,26-35 [Male]:,36-45 [Female]:,36-45 [Male]:,45 Up [Female]:,45 Up [Female]:,BIU Functional:,No. BHERT Team:,BIU Capacity:
70,PATAG,34,19476.91363,0.174566,34,0,29,1,4,13,21,3,2,1,2,9,3,3,1,5,5,Yes,0,0
53,CARMEN,90,77385.10852,0.116301,89,1,76,3,11,42,48,0,0,6,6,15,16,13,8,14,12,Yes,0,0
48,BONBON,13,10509.10236,0.123702,13,0,11,1,1,4,9,1,0,1,0,4,2,0,0,3,2,Yes,1,3
77,TAGPANGI,0,2908.03428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
44,BALULANG,68,38195.25735,0.178033,68,0,59,6,3,36,32,3,3,5,5,13,11,4,9,7,8,Yes,2,4
80,TUMPAGON,2,2670.912572,0.074881,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,No,0,0
71,PIGSAG-AN,0,1478.717318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
79,TUBURAN,0,1416.143534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0
76,TAGLIMAO,0,2468.920006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
68,PAGALUNGAN,0,2513.929219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
46,BAYANGA,4,3610.617119,0.110784,4,0,3,0,1,2,2,0,0,0,0,0,1,1,1,1,0,No,1,0
78,TIGNAPOLO-AN,2,5341.825144,0.03744,2,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,No,1,0
47,BESIGAN,0,1836.595451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,0
56,DANSOLIHON,4,6092.710553,0.065652,4,0,4,0,0,2,2,0,0,0,0,2,2,0,0,0,0,No,0,0
66,MAMBUAYA,3,3766.502686,0.079649,3,0,3,0,0,3,0,0,0,0,0,0,1,0,2,0,0,No,0,0
74,SAN SIMON,0,1527.019888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,3
69,PAGATPAT,24,9282.875754,0.258541,24,0,19,2,3,15,9,0,0,2,1,4,5,3,8,0,1,Yes,2,2
52,CANITON,2,30534.90883,0.00655,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,Yes,2,3
42,BAIKINGON,0,2515.027005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,2
60,IPONAN,59,28915.67495,0.204042,59,0,55,2,2,34,25,0,3,4,6,8,8,8,9,5,8,Yes,6,2
50,BULUA,52,35511.17135,0.146433,52,0,23,24,5,25,27,0,3,3,3,10,9,6,4,8,6,Yes,1,3
58,GUSA,67,29437.12315,0.227604,67,0,62,1,4,27,40,4,4,4,4,18,5,2,7,12,7,Yes,4,2
55,CUGMAN,2,22747.21718,0.008792,2,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,No,5,4
59,INDAHAG,36,17761.0746,0.20269,36,0,36,0,0,16,20,1,1,4,3,5,5,2,3,8,4,Yes,0,5
75,TABLON,40,25253.4619,0.158394,40,0,24,16,0,17,23,0,0,5,1,7,4,5,6,6,6,Yes,5,5
57,FS CATANICO,1,2746.659784,0.036408,3,-2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Yes,1,0
43,BALUBAL,0,5179.352863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2,1
72,PUERTO,6,15718.09544,0.038173,6,0,6,0,0,5,1,0,0,0,1,0,0,0,2,1,2,Yes,2,1
41,AGUSAN,7,17851,0.039213,7,0,7,0,0,3,4,0,0,0,1,3,2,1,0,0,0,Yes,4,5
49,BUGO,81,33913.89317,0.23884,81,0,69,5,7,46,35,9,8,4,6,13,15,3,8,6,9,No,3,2
63,LUMBIA,59,24622.23513,0.239621,55,4,50,4,5,36,23,0,0,5,6,6,13,6,7,6,10,No,1,0
73,PUNTOD,20,20633.97974,0.096927,20,0,18,2,0,6,14,2,0,0,0,2,2,5,1,5,3,Yes,0,4
